Date,Strain,Avg HR,Max HR,KJ,Recovery %,HRV,RHR,Sleep Hrs,Sleep Eff %,Sleep Perf %
2026-06-12,0.0,0,0,0.0,,,,,,
2026-06-18,14.14,86,143,4871.0,,,,,,
2026-06-19,11.99,83,177,5068.0,,,,,,
2026-06-20,5.3,80,127,6951.0,53.0,29.8,78.0,20.15,78.58468,57.0
2026-06-21,12.93,90,151,6789.0,45.0,25.5,75.0,10.7,86.04131,78.0
2026-06-22,7.75,85,143,6949.0,47.0,23.9,75.0,17.52,84.8506,77.0
2026-06-23,4.61,78,131,4978.0,36.0,19.9,78.0,12.5,83.72002,69.0
2026-06-24,7.69,84,150,4553.0,,,,,,
2026-06-25,7.36,85,148,6464.0,63.0,27.0,77.0,17.71,77.208755,72.0
2026-06-26,4.55,83,124,5915.0,93.0,44.7,73.0,16.01,82.39009,79.0
2026-06-27,6.42,81,154,5421.0,21.0,37.8,77.0,7.76,80.20789,30.0
2026-06-28,6.01,85,142,6271.0,15.0,11.1,81.0,11.48,85.766365,64.0
2026-06-29,5.9,82,127,5155.0,75.0,35.4,73.0,13.86,84.955925,67.0
2026-06-30,10.26,87,156,5273.0,,,,,,
2026-07-01,5.96,82,137,6435.0,42.0,21.7,77.0,15.52,84.64742,66.0
2026-07-02,9.88,84,148,6907.0,38.0,20.0,78.0,13.79,89.72646,75.0
2026-07-03,5.01,82,136,5817.0,52.0,25.2,77.0,15.33,84.206276,76.0
